GEO_UNIT,WEEK,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2566.0
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,9.013958126
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.706356647
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,0.986089055
FR,25-07-2022,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,1.012520828
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.173505572
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_POINTS,945.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE,15.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_DISPLAY,26.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,WEIGHTED_DISTRIBUTION_FEATURE_AND_DISPLAY,9.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TOTAL_DISTRIBUTION_WEIGHTED_VOLUME,61.81138129
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_COMPETITION_AVG_PRICE,0.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_COMPETITOR,10.03851008
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,INTERNAL_TDP_COMPETITION,0.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,TDP_COMPETITOR,2553.0
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE,9.092439863
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE,9.530356809
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_230G_AVG_PRICE_REDUCTION,0.977261247
FR,1/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,DORITOS_170G_AVG_PRICE_REDUCTION,1.030426226
FR,8/8/2022 0:00,ENSEIGNES_HMSM,doritos,doritos,AVG_PRICE_FOR_VOLUME,9.170474968
