GEO_UNIT,WEEK,GEO_LEVEL,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,2020-06-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,156554.7048
FR,13-07-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,164393.1288
FR,20-07-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,153365.8914
FR,27-07-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,143870.7096
FR,2020-03-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,151744.7628
FR,2020-10-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,142801.8336
FR,17-08-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,147861.18
FR,24-08-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,145580.9112
FR,31-08-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,131489.5626
FR,2020-07-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,130972.9392
FR,14-09-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,111964.761
FR,21-09-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,128104.7886
FR,28-09-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,137974.077
FR,2020-05-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,119250.9324
FR,2020-12-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,118538.3484
FR,19-10-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,117416.0286
FR,26-10-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,127445.6484
FR,2020-02-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,127303.1316
FR,2020-09-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,117059.7366
FR,16-11-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,129583.4004
FR,23-11-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,119731.9266
FR,30-11-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,130705.7202
FR,2020-07-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,133395.7248
FR,14-12-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,142196.1372
